YYYY/MM/DD Time,PointA_latitude,PointA_longitude,PointB_latitude,PointB_longitude
2017/10/10 22:17,35.40736349,139.5954595,,
2017/10/10 22:26,35.63508595,139.8775481,,
2017/10/11 0:52,34.9702,136.5785295,,
2017/10/11 0:57,33.93614228,133.7554052,,
2017/10/11 3:28,35.64105425,139.3856187,,
2017/10/11 6:21,39.1850719,141.175433,,
2017/10/11 6:50,35.6869591,139.6566979,,
2017/10/11 7:45,34.87617033,138.2664413,,
2017/10/11 7:50,34.72167431,135.1552694,,
2017/10/11 7:55,34.7216725,135.1552698,,
2017/10/11 7:55,34.97502608,135.6588971,,
2017/10/11 8:03,34.72167384,135.1553065,,
2017/10/11 8:09,33.72410872,130.4588672,,
2017/10/11 8:23,34.8556669,138.3030191,,
2017/10/11 8:35,34.86672633,137.0634851,,
2017/10/11 8:51,34.77884113,137.6713859,,
2017/10/11 8:54,36.23693863,137.9513658,,
2017/10/11 8:57,37.44908191,138.8480939,,
2017/10/11 9:14,37.85781874,138.9848241,,
2017/10/11 9:38,43.11968324,141.3418906,,
2017/10/11 9:40,35.1254413,136.8793467,,
2017/10/11 9:49,35.144949,138.7036925,,
2017/10/11 10:06,33.7179204,130.9766135,,
2017/10/11 10:09,35.75246467,139.3892151,,
2017/10/11 10:10,35.00190651,136.9941729,35.00786738,137.0041495
2017/10/11 10:15,37.06159342,140.8983264,,
2017/10/11 10:40,34.86280657,138.2826312,,
2017/10/11 10:55,38.2644548,140.8724232,,
2017/10/11 11:13,35.6357431,136.0488939,,
2017/10/11 11:47,35.28264052,139.193884,,
2017/10/11 11:51,35.6360739,136.0487219,,
2017/10/11 11:56,33.88196253,130.8657541,33.88196253,130.8657541
2017/10/11 13:04,34.65662812,135.1422744,,
2017/10/11 13:25,36.6057231,138.1656467,,
2017/10/11 13:36,43.14336078,141.1620313,,
2017/10/11 14:27,35.5556796,139.4187946,,
2017/10/11 14:34,34.47062073,136.7080637,,
2017/10/11 14:49,34.31961499,135.6237325,,
2017/10/11 15:04,32.7453704,129.8583137,,
2017/10/11 15:09,33.48310214,130.5212591,,
2017/10/11 15:24,35.42487545,139.3947282,,
2017/10/11 15:28,33.59162992,131.1889677,,
2017/10/11 15:46,36.5656686,136.6088628,,
2017/10/11 16:01,39.405272,141.1038044,,
2017/10/11 16:02,37.6613653,140.9873588,,
2017/10/11 16:07,34.9764853,137.0880846,,
2017/10/11 16:36,35.72879187,139.3831685,,
2017/10/11 16:58,35.8330744,139.6611624,,
2017/10/11 17:00,33.77965561,130.7440065,,
2017/10/11 17:16,35.9111413,139.5047682,,
2017/10/11 17:20,33.638485,130.6806258,,
2017/10/11 17:21,33.638485,130.6806258,,
2017/10/11 17:26,35.9408686,136.177165,,
2017/10/11 17:30,32.79217589,130.7151556,,
2017/10/11 17:43,34.68619598,134.9352274,34.69757456,134.915016
2017/10/11 19:05,33.2374119,131.6062692,33.23816123,131.6084603
2017/10/11 19:23,32.75524037,130.7330658,,
2017/10/11 20:07,36.42582169,140.5205936,,
2017/10/11 20:26,35.69839606,139.7867077,,
2017/10/11 21:10,36.2622949,139.5997945,,
2017/10/11 21:40,35.547015,139.7880544,,
2017/10/11 21:40,35.547015,139.7880544,,
2017/10/11 21:41,35.547015,139.7880544,,
2017/10/11 21:42,35.547015,139.7880544,,
2017/10/11 21:52,35.547015,139.7880544,,
2017/10/11 22:10,36.55861893,140.6202002,,
2017/10/11 22:13,33.38217015,130.5716867,,
2017/10/11 22:37,33.60817894,130.4720285,,
2017/10/11 22:49,33.6320403,130.4572299,,
2017/10/11 22:59,40.50686949,141.5175458,,
2017/10/11 23:01,34.67791976,136.5081972,,
2017/10/12 0:29,35.04672459,136.6124234,,
2017/10/12 0:44,33.53505988,130.4177927,,
2017/10/12 7:17,34.4303793,132.847795,34.43319752,132.8462391
2017/10/12 8:11,36.23256947,139.574144,,
2017/10/12 8:15,34.25162131,132.5664551,,
2017/10/12 8:17,33.52912876,130.3136992,,
2017/10/12 8:32,34.6813034,135.5094723,,
2017/10/12 8:43,38.2141373,140.3400417,,
2017/10/12 8:56,34.57918564,135.4846414,,
2017/10/12 9:02,35.7558887,140.7226051,,
2017/10/12 9:12,36.29404705,139.0148306,,
2017/10/12 9:12,34.729796,135.5072136,,
2017/10/12 9:18,37.4727241,140.4623163,,
2017/10/12 9:27,36.44116294,136.4459995,,
2017/10/12 9:28,26.31870165,127.7776104,,
2017/10/12 9:28,34.7298532,135.5075267,,
2017/10/12 9:30,36.4573077,140.481124,36.45751469,140.4814422
2017/10/12 9:41,33.8085366,132.8288591,,
2017/10/12 10:03,35.656056,139.6051194,,
2017/10/12 10:34,35.65223836,139.7158945,,
2017/10/12 10:43,34.99991724,135.8584471,,
2017/10/12 10:51,33.85670926,130.714371,,
2017/10/12 11:01,33.2416469,131.7861312,,
2017/10/12 11:02,35.17526289,136.9033066,,
2017/10/12 11:25,37.86522729,139.0958696,,
2017/10/12 11:36,33.848851,130.6785947,,
2017/10/12 12:32,35.68086981,139.6857155,,
2017/10/12 12:36,35.44430707,133.3311906,,
2017/10/12 12:42,35.9456955,139.7776786,35.9456955,139.7776786
2017/10/12 12:45,35.93526858,139.6091355,,
2017/10/12 13:12,34.2604223,134.0471041,,
2017/10/12 13:18,34.70625058,135.3938152,,
2017/10/12 13:19,33.56412497,130.4257966,,
2017/10/12 14:15,33.17316946,129.7241703,,
2017/10/12 14:24,36.930938,137.4978617,,
2017/10/12 14:41,35.77810136,140.3156077,,
2017/10/12 15:14,37.5357369,138.8169275,,
2017/10/12 15:43,35.0886884,138.9523469,,
2017/10/12 16:02,35.59839464,139.7100073,35.59759363,139.7081672
2017/10/12 16:07,35.55340948,140.3644323,,
2017/10/12 16:36,35.96117314,139.8772108,,
2017/10/12 16:40,35.52631601,140.1380139,35.52633347,140.1380353
2017/10/12 16:47,31.9458804,131.3660141,,
2017/10/12 16:49,35.33213302,139.9164735,,
2017/10/12 16:50,35.85920492,139.5228519,,
2017/10/12 16:51,35.86294842,139.4152155,,
2017/10/12 17:23,34.98472692,137.2375858,,
2017/10/12 18:21,35.6906178,139.5748301,,
2017/10/12 18:23,35.3613521,139.3512166,,
2017/10/12 18:34,33.24000089,131.7699462,33.24434391,131.7648822
2017/10/12 18:39,35.42732982,137.0534297,,
2017/10/12 18:43,35.5890825,140.1404708,,
2017/10/12 18:48,42.9989141,141.4406808,,
2017/10/12 18:52,34.83141653,134.6387315,,
2017/10/12 18:55,32.73570234,129.8696327,,
2017/10/12 18:56,43.02956345,141.3957655,,
2017/10/12 18:58,35.4842143,139.4231616,,
2017/10/12 19:12,32.83530503,129.9888324,,
2017/10/12 19:23,35.0194272,134.1589642,,
2017/10/12 19:28,35.51286888,137.8017802,,
2017/10/12 19:56,36.31257384,139.1809663,,
2017/10/12 20:22,35.66590944,139.7565347,,
2017/10/12 20:33,34.67050576,135.1693733,,
2017/10/12 21:36,35.60317688,139.3325933,35.6034271,139.33238
2017/10/12 22:23,35.5108474,139.6795424,,
2017/10/12 22:26,35.06180163,137.1280381,,
2017/10/12 23:15,35.90499156,140.6424192,,
2017/10/13 2:06,33.19782168,131.6031042,,
2017/10/13 5:18,35.7002106,140.0050015,35.7002702,140.0044452
2017/10/13 7:40,35.3419777,139.6206943,,
2017/10/13 7:47,34.4337093,132.8381496,34.4337093,132.8381496
2017/10/13 7:48,34.6700452,135.8095957,,
2017/10/13 7:55,36.28744376,139.8130679,,
2017/10/13 7:56,35.36070587,137.1964432,,
2017/10/13 8:24,33.46042253,130.6090249,33.46042253,130.6090249
2017/10/13 8:46,26.30679124,127.7910258,,
2017/10/13 9:11,32.79134968,129.8770555,,
2017/10/13 9:32,35.87393784,140.0066212,,
2017/10/13 9:36,34.78335071,134.258698,,
2017/10/13 9:38,35.68574857,140.1099317,,
2017/10/13 9:49,35.8739463,140.0065451,,
2017/10/13 9:54,35.78450674,139.9137136,,
2017/10/13 10:34,34.45487804,133.7858086,,
